Região,UF,Município,IFDM,Educação,Saúde,Emprego & Renda
Nordeste,CE,Fortaleza,"0,7389","0,7288","0,6798","0,8080"
Sudeste,MG,Belo Oriente,"0,7389","0,7254","0,6883","0,8031"
Sudeste,SP,Alumínio,"0,7389","0,7505","0,7037","0,7626"
Sudeste,SP,Apiaí,"0,7389","0,7693","0,6350","0,8125"
Sul,PR,Boa Esperança do Iguaçu,"0,7389","0,7753","0,7406","0,7008"
Sudeste,MG,Curvelo,"0,7388","0,6516","0,7082","0,8567"
Sul,RS,Getúlio Vargas,"0,7386","0,7136","0,6271","0,8752"
Sudeste,MG,Nova Ponte,"0,7385","0,7022","0,6133","0,9000"
Sul,PR,Lindoeste,"0,7382","0,7553","0,7135","0,7457"
Nordeste,CE,Maracanaú,"0,7381","0,8073","0,6136","0,7933"
Sul,PR,Coronel Domingos Soares,"0,7381","0,6897","0,7411","0,7835"
Sudeste,MG,Bonfinópolis de Minas,"0,7380","0,8204","0,7165","0,6771"
Sudeste,MG,Grupiara,"0,7380","0,7347","0,8103","0,6689"
Sudeste,SP,Franco da Rocha,"0,7379","0,8243","0,7030","0,6864"
Sudeste,MG,Caratinga,"0,7378","0,7163","0,6259","0,8712"
Centro-Oeste,MT,Matupá,"0,7378","0,7193","0,5687","0,9255"
Sudeste,RJ,Porto Real,"0,7377","0,6892","0,7860","0,7379"
Sul,PR,Campina Grande do Sul,"0,7377","0,7153","0,6054","0,8923"
Centro-Oeste,GO,Rubiataba,"0,7377","0,7956","0,6268","0,7908"
Sudeste,MG,Tiradentes,"0,7375","0,6684","0,6411","0,9031"
Sudeste,MG,Três Marias,"0,7374","0,7848","0,6635","0,7638"
Sudeste,SP,Buri,"0,7374","0,7197","0,6489","0,8437"
Sul,PR,Diamante do Norte,"0,7372","0,8632","0,7447","0,6036"
Sudeste,MG,Ingaí,"0,7369","0,6875","0,7823","0,7409"
Sudeste,SP,Cubatão,"0,7369","0,7230","0,7188","0,7690"
Centro-Oeste,MT,Nova Marilândia,"0,7369","0,7669","0,5231","0,9206"
Sul,PR,Presidente Castelo Branco,"0,7368","0,7212","0,8242","0,6649"
Centro-Oeste,MT,Alto Taquari,"0,7366","0,6205","0,7266","0,8626"
Sudeste,MG,Pedra do Indaiá,"0,7365","0,6745","0,6884","0,8465"
Sudeste,SP,Santo Antônio de Posse,"0,7364","0,6534","0,6339","0,9219"
Sul,PR,Jaguariaíva,"0,7364","0,6838","0,6312","0,8942"
Sul,RS,Cruz Alta,"0,7364","0,6194","0,7408","0,8491"
Sul,PR,Sertanópolis,"0,7363","0,7821","0,5799","0,8469"
Sudeste,MG,São Gonçalo do Sapucaí,"0,7361","0,7447","0,6318","0,8318"
Sul,RS,Marques de Souza,"0,7361","0,6535","0,8202","0,7345"
Centro-Oeste,MS,Naviraí,"0,7361","0,7247","0,5833","0,9004"
Sudeste,MG,Unaí,"0,7360","0,6932","0,6627","0,8522"
Sudeste,SP,Cafelândia,"0,7360","0,7592","0,6170","0,8318"
Sudeste,SP,Torrinha,"0,7360","0,7668","0,5780","0,8631"
Centro-Oeste,GO,Ouvidor,"0,7355","0,7241","0,6601","0,8222"
Sudeste,MG,Cachoeira Dourada,"0,7354","0,7476","0,6748","0,7839"
Sudeste,SP,Promissão,"0,7354","0,7142","0,6556","0,8365"
Sul,RS,Sananduva,"0,7354","0,6792","0,7140","0,8131"
Sudeste,SP,Capão Bonito,"0,7353","0,7281","0,7409","0,7370"
Sudeste,ES,Itarana,"0,7352","0,7832","0,6895","0,7328"
Sul,RS,Caseiros,"0,7352","0,7375","0,7219","0,7463"
Sudeste,SP,Marinópolis,"0,7351","0,8625","0,7610","0,5818"
Sudeste,SP,Bocaina,"0,7350","0,7002","0,7025","0,8023"
Sul,PR,Guaraci,"0,7348","0,8042","0,6544","0,7459"
Sudeste,SP,São Pedro do Turvo,"0,7347","0,7140","0,6968","0,7934"
Sudeste,SP,Alfredo Marcondes,"0,7346","0,7130","0,7423","0,7486"
Sudeste,MG,Governador Valadares,"0,7345","0,7355","0,6562","0,8119"
Sudeste,SP,Jarinu,"0,7343","0,6987","0,6171","0,8872"
Sul,SC,São João do Itaperiú,"0,7343","0,5529","0,7212","0,9289"
Sul,PR,São Pedro do Ivaí,"0,7342","0,8232","0,5820","0,7973"
Sudeste,MG,Natércia,"0,7341","0,8710","0,7701","0,5611"
Sudeste,SP,Conchas,"0,7341","0,7494","0,6610","0,7920"
Sudeste,SP,Rio das Pedras,"0,7341","0,6981","0,6588","0,8455"
Sul,RS,Maratá,"0,7341","0,7203","0,7953","0,6868"
Sudeste,ES,Santa Teresa,"0,7339","0,7045","0,6642","0,8329"
Sul,SC,Biguaçu,"0,7339","0,5638","0,7516","0,8864"
Sul,PR,Marmeleiro,"0,7337","0,7442","0,6345","0,8223"
Sudeste,MG,Capitólio,"0,7335","0,7380","0,5791","0,8834"
Sul,PR,Salto do Lontra,"0,7335","0,7474","0,6783","0,7748"
Sul,PR,Jaguapitã,"0,7334","0,6638","0,5887","0,9478"
Sul,PR,Guaíra,"0,7333","0,7554","0,6909","0,7537"
Sul,PR,Paula Freitas,"0,7333","0,7141","0,6964","0,7894"
Sudeste,SP,Santa Cruz das Palmeiras,"0,7332","0,7653","0,6697","0,7647"
Norte,RO,Cacoal,"0,7331","0,6378","0,7338","0,8278"
Sudeste,MG,Santo Antônio do Monte,"0,7330","0,7162","0,6776","0,8052"
Sul,SC,Quilombo,"0,7330","0,6296","0,6228","0,9465"
Sudeste,SP,Araçoiaba da Serra,"0,7328","0,7782","0,6038","0,8165"
Centro-Oeste,MT,Juína,"0,7328","0,7288","0,6254","0,8443"
Sul,PR,Fênix,"0,7327","0,8434","0,7050","0,6497"
Sul,RS,Almirante Tamandaré do Sul,"0,7327","0,5711","0,7387","0,8884"
Sul,PR,Prado Ferreira,"0,7325","0,7818","0,6515","0,7641"
Sudeste,MG,Cachoeira de Minas,"0,7324","0,7758","0,7532","0,6683"
Sul,SC,Guarujá do Sul,"0,7324","0,6952","0,6476","0,8544"
Sul,RS,Ibiaçá,"0,7323","0,7379","0,7910","0,6680"
Sul,PR,Laranjeiras do Sul,"0,7322","0,7138","0,6710","0,8118"
Sudeste,RJ,Teresópolis,"0,7321","0,6491","0,7522","0,7951"
Centro-Oeste,GO,Itaberaí,"0,7320","0,6844","0,6101","0,9014"
Norte,TO,Araguaína,"0,7318","0,7216","0,6503","0,8234"
Sudeste,MG,Nova Lima,"0,7317","0,6697","0,6424","0,8830"
Sudeste,SP,Pardinho,"0,7316","0,5830","0,6700","0,9417"
Sul,PR,Altônia,"0,7316","0,8227","0,7017","0,6705"
Sul,PR,Candói,"0,7316","0,7241","0,6457","0,8251"
Sul,RS,Rodeio Bonito,"0,7316","0,5831","0,8028","0,8089"
Centro-Oeste,GO,Aporé,"0,7316","0,7153","0,6046","0,8748"
Sudeste,SP,Santa Albertina,"0,7315","0,8151","0,5392","0,8402"
Sul,PR,Mauá da Serra,"0,7313","0,6737","0,6420","0,8782"
Sul,SC,Siderópolis,"0,7311","0,5999","0,6428","0,9506"
Sudeste,SP,Irapuã,"0,7310","0,8443","0,6409","0,7077"
Sul,RS,São Jorge,"0,7310","0,7445","0,7231","0,7254"
Sudeste,SP,Ubarana,"0,7309","0,7527","0,6172","0,8228"
Sul,PR,Jesuítas,"0,7309","0,8423","0,6415","0,7090"
Sudeste,SP,Cristais Paulista,"0,7308","0,6784","0,7778","0,7361"
Sudeste,SP,Guará,"0,7307","0,7324","0,7460","0,7138"
Sudeste,SP,Lindóia,"0,7307","0,6618","0,6346","0,8957"
Sul,PR,Ivaté,"0,7307","0,7841","0,6162","0,7918"
Sul,RS,Miraguaí,"0,7307","0,6095","0,6827","0,8998"
Sudeste,MG,Maripá de Minas,"0,7305","0,7278","0,7289","0,7347"
Sudeste,MG,Contagem,"0,7303","0,5966","0,6573","0,9370"
Sudeste,SP,Suzano,"0,7302","0,7574","0,6080","0,8251"
Sul,SC,Pouso Redondo,"0,7302","0,6678","0,5680","0,9547"
Sudeste,SP,Santo Antônio da Alegria,"0,7301","0,7208","0,7503","0,7192"
Sul,SC,Rio Fortuna,"0,7301","0,6886","0,6422","0,8595"
Sudeste,SP,Mauá,"0,7300","0,7195","0,7164","0,7540"
Sudeste,SP,Icém,"0,7299","0,7949","0,6742","0,7206"
Sul,PR,Nova Olímpia,"0,7299","0,7926","0,6361","0,7611"
Sudeste,SP,Poloni,"0,7298","0,7621","0,6033","0,8240"
Sul,SC,Águas Mornas,"0,7298","0,6326","0,7602","0,7967"
Sul,RS,Gentil,"0,7298","0,7056","0,8051","0,6786"
Sudeste,SP,Nhandeara,"0,7297","0,8187","0,6810","0,6894"
Sudeste,MG,Frutal,"0,7296","0,6652","0,6076","0,9159"
Sul,SC,Campo Erê,"0,7296","0,7890","0,5589","0,8410"
Centro-Oeste,MS,Água Clara,"0,7296","0,6460","0,6089","0,9339"
Sul,PR,Quatiguá,"0,7295","0,8069","0,6520","0,7297"
Sul,SC,Bom Jesus do Oeste,"0,7295","0,7635","0,7307","0,6942"
Sudeste,SP,Monções,"0,7293","0,8767","0,6479","0,6633"
Sul,RS,Santo Antônio da Patrulha,"0,7289","0,6853","0,6597","0,8416"
Sudeste,SP,Cássia dos Coqueiros,"0,7288","0,7104","0,8083","0,6678"
Sul,PR,Capitão Leônidas Marques,"0,7288","0,7627","0,6128","0,8109"
Sul,RS,Xangri-lá,"0,7287","0,6062","0,6311","0,9488"
Sul,SC,Tunápolis,"0,7286","0,6818","0,7152","0,7887"
Centro-Oeste,GO,Buriti de Goiás,"0,7286","0,8510","0,7437","0,5912"
Sul,SC,Garopaba,"0,7285","0,6030","0,7267","0,8559"
Sul,RS,Montauri,"0,7285","0,6995","0,7409","0,7450"
Sul,RS,Taquara,"0,7285","0,6803","0,6701","0,8350"
Sudeste,SP,Nipoã,"0,7284","0,8168","0,7148","0,6536"
Sul,RS,Espumoso,"0,7284","0,7127","0,6815","0,7910"
Sul,RS,Monte Belo do Sul,"0,7282","0,7650","0,7392","0,6804"
Centro-Oeste,GO,Rio Quente,"0,7282","0,7654","0,5125","0,9066"
Sul,SC,Guatambú,"0,7281","0,5610","0,6996","0,9237"
Sul,SC,Campo Alegre,"0,7279","0,6753","0,5470","0,9615"
Sudeste,MG,Itaguara,"0,7276","0,7241","0,6761","0,7827"
Sudeste,SP,Taquarivaí,"0,7274","0,6303","0,6891","0,8627"
Centro-Oeste,GO,Urutaí,"0,7274","0,6545","0,6812","0,8465"
Sudeste,SP,Mairiporã,"0,7272","0,7323","0,6740","0,7754"
Sul,PR,Cambará,"0,7272","0,7718","0,6979","0,7118"
Sul,SC,Lauro Müller,"0,7272","0,6520","0,6208","0,9089"
Sudeste,MG,Jaguaraçu,"0,7268","0,7020","0,6829","0,7956"
Centro-Oeste,MT,Barra do Bugres,"0,7266","0,7331","0,6082","0,8386"
Sudeste,MG,Guaranésia,"0,7265","0,5959","0,6916","0,8920"
Sul,SC,Cunhataí,"0,7264","0,6967","0,7171","0,7654"
Centro-Oeste,MS,Batayporã,"0,7264","0,7033","0,5924","0,8834"
Sul,PR,Mangueirinha,"0,7263","0,7272","0,6583","0,7934"
Sul,SC,Faxinal dos Guedes,"0,7262","0,5786","0,6448","0,9551"
Centro-Oeste,MS,Maracaju,"0,7262","0,6792","0,6042","0,8951"
Sudeste,MG,Itaú de Minas,"0,7261","0,6766","0,6884","0,8134"
Sudeste,SP,Capela do Alto,"0,7261","0,6975","0,6780","0,8028"
Sul,RS,Chiapetta,"0,7261","0,7543","0,6539","0,7700"
Sudeste,ES,Alegre,"0,7260","0,8228","0,7437","0,6116"
Sul,SC,Navegantes,"0,7260","0,6652","0,5793","0,9336"
Sul,SC,Ouro,"0,7260","0,7014","0,7168","0,7599"
Sudeste,SP,Pindorama,"0,7259","0,6814","0,7531","0,7431"
Sul,RS,Fazenda Vilanova,"0,7259","0,6624","0,7166","0,7986"
Sudeste,MG,João Pinheiro,"0,7258","0,6302","0,6130","0,9343"
Sul,SC,Lages,"0,7258","0,6695","0,6080","0,8998"
Sudeste,MG,Lagoa da Prata,"0,7257","0,7168","0,5940","0,8663"
Sul,PR,Cruzeiro do Sul,"0,7257","0,8539","0,6985","0,6246"
Sul,PR,São Pedro do Iguaçu,"0,7257","0,7671","0,7602","0,6498"
Sul,SC,Governador Celso Ramos,"0,7256","0,6605","0,5936","0,9227"
Sul,SC,Meleiro,"0,7256","0,7116","0,6254","0,8399"
Sudeste,SP,Mombuca,"0,7255","0,6568","0,6984","0,8214"
Sul,SC,Flor do Sertão,"0,7255","0,7153","0,5940","0,8673"
Sul,PR,Ampére,"0,7254","0,7154","0,5362","0,9247"
Sudeste,SP,Santa Isabel,"0,7253","0,7236","0,6685","0,7838"
Sul,PR,Guapirama,"0,7253","0,7332","0,7473","0,6954"
Sudeste,MG,Mariana,"0,7251","0,6631","0,6688","0,8434"
Sudeste,RJ,Areal,"0,7251","0,6828","0,7514","0,7412"
Sudeste,SP,Rifaina,"0,7251","0,6402","0,6363","0,8989"
Sul,SC,Paial,"0,7251","0,6975","0,7350","0,7427"
Sudeste,ES,João Neiva,"0,7249","0,7569","0,5635","0,8542"
Centro-Oeste,GO,Lagoa Santa,"0,7249","0,8242","0,5218","0,8288"
Sudeste,MG,Rochedo de Minas,"0,7248","0,6262","0,7281","0,8201"
Sudeste,SP,Oscar Bressane,"0,7247","0,7834","0,6972","0,6936"
Sul,PR,Marumbi,"0,7247","0,7541","0,7067","0,7134"
Sudeste,MG,Arceburgo,"0,7246","0,6865","0,6886","0,7987"
Sudeste,SP,Cajuru,"0,7246","0,6980","0,6074","0,8683"
Sudeste,SP,Piacatu,"0,7244","0,8201","0,6784","0,6747"
Sul,SC,Arvoredo,"0,7244","0,6716","0,7132","0,7885"
Centro-Oeste,MS,Aparecida do Taboado,"0,7244","0,6215","0,6097","0,9419"
Nordeste,PI,Teresina,"0,7242","0,7154","0,6791","0,7780"
Sudeste,MG,São Gonçalo do Rio Abaixo,"0,7239","0,7036","0,7391","0,7290"
Sudeste,SP,Santópolis do Aguapeí,"0,7239","0,8316","0,7773","0,5628"
Sul,SC,Saudades,"0,7239","0,7420","0,4646","0,9651"
Sul,RS,Canoas,"0,7239","0,5070","0,7703","0,8944"
Sul,RS,São José do Hortêncio,"0,7239","0,7164","0,6537","0,8015"
Sul,PR,Santa Tereza do Oeste,"0,7238","0,7245","0,5950","0,8519"
Sul,RS,Ipê,"0,7238","0,6138","0,7006","0,8571"
Sudeste,MG,Cruzeiro da Fortaleza,"0,7237","0,7458","0,7191","0,7062"
Sudeste,MG,Monte Belo,"0,7237","0,6506","0,6172","0,9034"
Sul,RS,Seberi,"0,7237","0,6344","0,6095","0,9272"
Norte,RO,Vilhena,"0,7236","0,5333","0,7087","0,9287"
Sudeste,MG,Diamantina,"0,7236","0,7059","0,7600","0,7050"
Centro-Oeste,MT,Alto Garças,"0,7235","0,7027","0,6424","0,8254"
