Região,UF,Município,IFDM,Educação,Saúde,Emprego & Renda,codigo_ibge
Sul,RS,Pelotas,"0,6741","0,5611","0,6813","0,7799",4314407
Sudeste,SP,Jacupiranga,"0,6740","0,6520","0,6172","0,7527",3524600
Centro-Oeste,GO,Pires do Rio,"0,6740","0,6519","0,4840","0,8860",5217401
Sul,SC,Campo Belo do Sul,"0,6738","0,6659","0,6759","0,6796",4203402
Sul,RS,Ernestina,"0,6738","0,6174","0,7413","0,6626",4307054
Sul,RS,Tuparendi,"0,6738","0,6940","0,6375","0,6898",4322301
Sudeste,MG,Campestre,"0,6735","0,6403","0,6936","0,6867",3111002
Sul,PR,Rio Azul,"0,6735","0,6364","0,6247","0,7593",4122008
Sudeste,MG,Inconfidentes,"0,6734","0,6836","0,7275","0,6092",3130606
Sudeste,MG,Perdões,"0,6734","0,6937","0,5353","0,7911",3149903
Sudeste,MG,Mathias Lobato,"0,6734","0,6582","0,6771","0,6849",3171501
Sul,PR,Munhoz de Melo,"0,6734","0,7794","0,6911","0,5498",4116307
Norte,AC,Rio Branco,"0,6732","0,6419","0,5840","0,7937",1200401
Norte,TO,Tabocão,"0,6732","0,7402","0,6144","0,6651",
Sul,PR,Novo Itacolomi,"0,6732","0,7267","0,5762","0,7167",4117297
Nordeste,BA,Irecê,"0,6731","0,6645","0,7220","0,6328",2914604
Sudeste,SP,Bofete,"0,6729","0,6330","0,6360","0,7497",3506904
Sudeste,SP,Mira Estrela,"0,6729","0,8300","0,5878","0,6010",3530003
Sudeste,MG,Aiuruoca,"0,6728","0,5487","0,7965","0,6733",3101201
Sul,PR,Contenda,"0,6728","0,6787","0,6949","0,6447",4106209
Sudeste,MG,Carandaí,"0,6727","0,7023","0,6646","0,6511",3113206
Sudeste,SP,Iaras,"0,6727","0,6379","0,5894","0,7907",3519253
Sul,RS,Campos Borges,"0,6726","0,7241","0,6418","0,6518",4304101
Centro-Oeste,MT,Pontes e Lacerda,"0,6724","0,6406","0,4877","0,8888",5106752
Centro-Oeste,GO,Davinópolis,"0,6724","0,6326","0,7646","0,6201",5206909
Sul,RS,Alto Alegre,"0,6723","0,6571","0,7684","0,5914",4300554
Sul,RS,André da Rocha,"0,6723","0,5637","0,6269","0,8263",4300661
Sudeste,MG,Perdizes,"0,6722","0,6266","0,5002","0,8898",3149804
Sul,PR,Florestópolis,"0,6722","0,7274","0,5315","0,7577",4108007
Nordeste,CE,Quixeramobim,"0,6721","0,7671","0,5266","0,7225",2311405
Sudeste,RJ,Itatiaia,"0,6721","0,6496","0,6056","0,7612",3302254
Sul,RS,Campestre da Serra,"0,6721","0,6497","0,6643","0,7022",4303673
Sudeste,RJ,Paraíba do Sul,"0,6720","0,6080","0,7244","0,6836",3303708
Sul,PR,Tomazina,"0,6720","0,7109","0,6555","0,6497",4127809
Sul,RS,Três Palmeiras,"0,6719","0,7286","0,6505","0,6367",4321857
Sudeste,MG,Caxambu,"0,6718","0,7332","0,6479","0,6343",3115508
Sudeste,ES,Vila Valério,"0,6718","0,7331","0,5712","0,7112",3205176
Centro-Oeste,MT,Reserva do Cabaçal,"0,6718","0,7469","0,6793","0,5893",5107156
Sudeste,MG,Cascalho Rico,"0,6717","0,7738","0,5462","0,6952",3115003
Sul,RS,Porto Xavier,"0,6717","0,7595","0,5847","0,6709",4315107
Centro-Oeste,MT,Araguaiana,"0,6717","0,6023","0,6362","0,7767",5101001
Centro-Oeste,MT,Novo Mundo,"0,6717","0,5684","0,6585","0,7883",5106265
Sudeste,SP,Serra Azul,"0,6716","0,6402","0,7820","0,5926",3551405
Sudeste,MG,Santa Juliana,"0,6715","0,5433","0,5461","0,9252",3157708
Sudeste,SP,Sales,"0,6715","0,6786","0,6673","0,6686",3544806
Sudeste,MG,Caeté,"0,6714","0,6099","0,7175","0,6868",3110004
Sudeste,SP,Rosana,"0,6713","0,8221","0,6022","0,5895",3544251
Nordeste,RN,Jardim do Seridó,"0,6712","0,7717","0,7294","0,5124",2405702
Sudeste,MG,São Domingos do Prata,"0,6710","0,7622","0,6841","0,5667",3161007
Sul,SC,Planalto Alegre,"0,6710","0,6865","0,5091","0,8175",4213153
Sudeste,MG,Araçaí,"0,6708","0,7439","0,5539","0,7147",3103207
Sudeste,SP,Itapura,"0,6707","0,8198","0,6081","0,5841",3523008
Sul,PR,Maria Helena,"0,6706","0,6819","0,7007","0,6291",4114708
Sul,SC,Jaborá,"0,6706","0,6157","0,5741","0,8221",4208609
Sudeste,RJ,Itaguaí,"0,6705","0,5306","0,7170","0,7639",3302007
Nordeste,CE,Abaiara,"0,6704","0,7587","0,7178","0,5346",2300101
Sudeste,MG,Abadia dos Dourados,"0,6704","0,5370","0,7192","0,7550",3100104
Centro-Oeste,MS,Deodápolis,"0,6704","0,6253","0,6240","0,7620",5003454
Sul,RS,Bozano,"0,6702","0,6551","0,7853","0,5703",4302584
Sudeste,SP,Itaporanga,"0,6701","0,8039","0,4884","0,7180",3522802
Sudeste,MG,Candeias,"0,6700","0,7186","0,6088","0,6825",3112000
Sul,PR,Ventania,"0,6698","0,6419","0,6220","0,7456",4128534
Sudeste,MG,Córrego do Bom Jesus,"0,6697","0,7679","0,7035","0,5377",3119906
Sudeste,SP,Mesópolis,"0,6697","0,7438","0,6910","0,5743",3529658
Sudeste,SP,Paulo de Faria,"0,6697","0,7609","0,6227","0,6255",3536604
Sudeste,SP,Itapevi,"0,6695","0,6384","0,6235","0,7465",3522505
Sul,SC,Bela Vista do Toldo,"0,6695","0,6932","0,6956","0,6197",4202131
Centro-Oeste,MS,Novo Horizonte do Sul,"0,6694","0,6456","0,6330","0,7295",5006259
Sul,PR,Rio Bom,"0,6692","0,7202","0,5586","0,7289",4122107
Sul,SC,Painel,"0,6692","0,5862","0,6922","0,7292",4211892
Sudeste,SP,Lourdes,"0,6691","0,8552","0,6660","0,4860",3527256
Sudeste,MG,Passa Tempo,"0,6690","0,6425","0,6515","0,7131",3147709
Sul,PR,Icaraíma,"0,6690","0,7210","0,6503","0,6356",4109906
Sul,SC,Camboriú,"0,6688","0,6225","0,6333","0,7505",4203204
Sul,RS,Augusto Pestana,"0,6688","0,6286","0,6502","0,7275",4301503
Sudeste,MG,Campos Gerais,"0,6687","0,6590","0,7060","0,6410",3111606
Sudeste,SP,Jeriquara,"0,6687","0,6047","0,6559","0,7455",3525409
Nordeste,RN,Natal,"0,6686","0,5178","0,6942","0,7938",2408102
Sudeste,MG,Ilicínea,"0,6686","0,6586","0,6212","0,7259",3130507
Sul,PR,Virmond,"0,6686","0,7079","0,6613","0,6366",4128658
Sul,SC,Bom Jardim da Serra,"0,6686","0,5831","0,5924","0,8304",4202503
Centro-Oeste,MS,Jardim,"0,6686","0,6447","0,5675","0,7936",5005004
Sudeste,MG,Guapé,"0,6685","0,5958","0,6968","0,7128",3128105
Centro-Oeste,GO,Alto Paraíso de Goiás,"0,6685","0,5990","0,6606","0,7458",5200605
Sudeste,MG,Funilândia,"0,6684","0,6539","0,6631","0,6881",3127206
Sudeste,SP,Gastão Vidigal,"0,6683","0,8330","0,6111","0,5607",3516804
Sul,PR,Teixeira Soares,"0,6683","0,6226","0,6394","0,7428",4127007
Sul,SC,Macieira,"0,6683","0,5232","0,6929","0,7888",4210050
